titulo,empresa,local,nivel,link
Desenvolvedor Backend Python Sr,Oakmont Group,Home Office,Sênior,https://www.vagas.com.br/vagas/v2802342/desenvolvedor-backend-python-sr
Desenvolvedor de Automações RPA – Pleno / Sênior,Epimed Solutions,Home Office,Sênior,https://www.vagas.com.br/vagas/v2793918/desenvolvedor-de-automacoes-rpa-pleno-senior
Coordenador de Desenvolvimento e Inteligência de Dados - Monitoramento Regras e Cadastros - Corporativo RJ,Rede D'Or,,Supervisão/Coordenação,https://www.vagas.com.br/vagas/v2793976/coordenador-de-desenvolvimento-e-inteligencia-de-dados-monitoramento-regras-e-cadastros-corporativo-rj
Analista de Planejamento - Serviços Compartilhados - Santa Luzia,Rede D'Or,,Pleno,https://www.vagas.com.br/vagas/v2794473/analista-de-planejamento-servicos-compartilhados-santa-luzia
Estágio - Suporte e Desenvolvimento em TI,Huawei,,Estágio,https://www.vagas.com.br/vagas/v2800199/estagio-suporte-e-desenvolvimento-em-ti
Especialista de Business Intelligence,Frescatto,,Supervisão/Coordenação,https://www.vagas.com.br/vagas/v2794691/especialista-de-business-intelligence
Estagiário(a) de Pesquisa Primária,Marjan Farma,,Estágio,https://www.vagas.com.br/vagas/v2798413/estagiario-a-de-pesquisa-primaria
Pessoa Analista Comercial II  | Vaga Exclusiva para Pcd,Rio Mais Saneamento,,Pleno,https://www.vagas.com.br/vagas/v2799467/pessoa-analista-comercial-ii-vaga-exclusiva-para-pcd
Estágio em Project Management Office,Hiring Talents,,Estágio,https://www.vagas.com.br/vagas/v2784973/estagio-em-project-management-office
Analista de Orçamento - SP,Synchro,,Pleno,https://www.vagas.com.br/vagas/v2798595/analista-de-orcamento-sp
Especialista de Planejamento,Centro Médico Pastore,,Auxiliar/Operacional,https://www.vagas.com.br/vagas/v2802021/especialista-de-planejamento
Desenvolvedor Ignition,AZ Consult,,Sênior,https://www.vagas.com.br/vagas/v2787794/desenvolvedor-ignition
Estagiário em Área Financeira - Controladoria,HStern,,Estágio,https://www.vagas.com.br/vagas/v2801471/estagiario-em-area-financeira-controladoria
Analista de Desenvolvimento Pleno,Sinaf Seguros,,Pleno,https://www.vagas.com.br/vagas/v2801067/analista-de-desenvolvimento-pleno
Engenheiro(a) de Processos – Vaga Exclusiva Pcd - Rpo,Confidencial,,Pleno,https://www.vagas.com.br/vagas/v2800488/engenheiro-a-de-processos-vaga-exclusiva-pcd-rpo
Analista RPA Pleno - Monitoramento Regras e Cadastros - Corporativo RJ,Rede D'Or,,Pleno,https://www.vagas.com.br/vagas/v2794613/analista-rpa-pleno-monitoramento-regras-e-cadastros-corporativo-rj
Analista de Dados Sr - Monitoramento Regras e Cadastros - Corporativo RJ,Rede D'Or,,Sênior,https://www.vagas.com.br/vagas/v2794606/analista-de-dados-sr-monitoramento-regras-e-cadastros-corporativo-rj
Analista Financeiro Jr,Profarma,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2797725/analista-financeiro-jr
11134 - Analista de Segurança da Informação Júnior,Talent Group,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2793508/11134-analista-de-seguranca-da-informacao-junior
Especialista Planejamento Financeiro,Allied,,Supervisão/Coordenação,https://www.vagas.com.br/vagas/v2792351/especialista-planejamento-financeiro
Analista Semi-Sênior de Inteligência Logística,Mercado Livre,,Pleno,https://www.vagas.com.br/vagas/v2789669/analista-semi-senior-de-inteligencia-logistica
Analista de Desenvolvimento Pleno - Dados (São Paulo),Hospital São Camilo,,Pleno,https://www.vagas.com.br/vagas/v2797434/analista-de-desenvolvimento-pleno-dados-sao-paulo
Coordenador(a) de Compras | Perfil Analítico,Centro Médico Pastore,,Supervisão/Coordenação,https://www.vagas.com.br/vagas/v2801038/coordenador-a-de-compras-perfil-analitico
Estágio em Engenharia de Manutenção,Colgate-Palmolive,,Estágio,https://www.vagas.com.br/vagas/v2779608/estagio-em-engenharia-de-manutencao
Estagiário de Projetos em Telecomunicação (PMO),Huawei,,Estágio,https://www.vagas.com.br/vagas/v2787156/estagiario-de-projetos-em-telecomunicacao-pmo
Estagiário de Tecnologia,HStern,,Estágio,https://www.vagas.com.br/vagas/v2800130/estagiario-de-tecnologia
Estagiário de Projetos de Telecomunicações (PMO),Huawei,,Estágio,https://www.vagas.com.br/vagas/v2801966/estagiario-de-projetos-de-telecomunicacoes-pmo
QA Júnior,Talent Spotter,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2800032/qa-junior
Analista de Dados Sênior,Grupo Nortearh,,Sênior,https://www.vagas.com.br/vagas/v2800334/analista-de-dados-senior
Engenheiro de Dados,Oakmont Group,Home Office,Supervisão/Coordenação,https://www.vagas.com.br/vagas/v2802519/engenheiro-de-dados
Desenvolvedor de Agente Ia Especialista,Oakmont Group,Home Office,Sênior,https://www.vagas.com.br/vagas/v2802339/desenvolvedor-de-agente-ia-especialista
Analista de Planejamento Financeiro Pl,DP World Santos,,Pleno,https://www.vagas.com.br/vagas/v2802305/analista-de-planejamento-financeiro-pl
Coordenador de Ciência de Dados Aplicada a Riscos Financeiros,Confidencial,,Supervisão/Coordenação,https://www.vagas.com.br/vagas/v2797311/coordenador-de-ciencia-de-dados-aplicada-a-riscos-financeiros
Analista de Efetividade da Força de Vendas Jr,Marjan Farma,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2801565/analista-de-efetividade-da-forca-de-vendas-jr
Analista de Dados e Indicadores (pleno/Sênior),Companhia de Estágios,,Sênior,https://www.vagas.com.br/vagas/v2792007/analista-de-dados-e-indicadores-pleno-senior
Analista de Auditoria Interna III - Data Analytics / TI | Ânima Holding,Ânima,Home Office,Sênior,https://www.vagas.com.br/vagas/v2785779/analista-de-auditoria-interna-iii-data-analytics-ti-anima-holding
Analista de Viabilidade e Inteligência de Dados Jr | Sql | Power Bi | Estudos Econômicos - São Paulo (Capital),Pacaembu Construtora,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2798784/analista-de-viabilidade-e-inteligencia-de-dados-jr-sql-power-bi-estudos-economicos-sao-paulo-capital
Devops Engineer,Proativa RH,,Sênior,https://www.vagas.com.br/vagas/v2798322/devops-engineer
Analista de Dados e Automação,Alliança Recursos Humanos,,Pleno,https://www.vagas.com.br/vagas/v2794390/analista-de-dados-e-automacao
Analista de TI (Zabbix),Confidencial,,Pleno,https://www.vagas.com.br/vagas/v2798200/analista-de-ti-zabbix
Estagiário de Riscos (Estatística / Administração / Economia / Matemática),Brasilcap,,Estágio,https://www.vagas.com.br/vagas/v2796147/estagiario-de-riscos-estatistica-administracao-economia-matematica
Cientista de Dados ( Lençóis Paulista SP ),LWART SOLUÇÕES AMBIENTAIS,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2801569/cientista-de-dados-lencois-paulista-sp
Analista de Suporte Operacional,TO Brasil Consultoria em Tecnologia da Informação,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2802235/analista-de-suporte-operacional
Analista Jr Marketing (Dados Licitações) - Barra da Tijuca/Rj.,White Martins,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2793279/analista-jr-marketing-dados-licitacoes-barra-da-tijuca-rj
Planejador de Manutenção,Elera Renováveis,,Pleno,https://www.vagas.com.br/vagas/v2801921/planejador-de-manutencao
Analista Tec Gerenciamento Informacao Pl (027121),Lyon Engenharia,,Pleno,https://www.vagas.com.br/vagas/v2800970/analista-tec-gerenciamento-informacao-pl-027121
Analista de FP&A Sênior,BR Talent,,Sênior,https://www.vagas.com.br/vagas/v2794726/analista-de-fp-a-senior
Analista Contábil Pleno,Brasilcap,,Pleno,https://www.vagas.com.br/vagas/v2796145/analista-contabil-pleno
Analista de Automação de Processos Sr,Wella Company,,Sênior,https://www.vagas.com.br/vagas/v2800093/analista-de-automacao-de-processos-sr
Especialista de Sistemas - Quality Assurance (QA),AL5 AMAGGI,Home Office,Sênior,https://www.vagas.com.br/vagas/v2799754/especialista-de-sistemas-quality-assurance-qa
Engenheiro(a) Geotécnico(a) Pl | Vaga Exclusiva para Pcd's,Tetra Tech América do Sul,,Pleno,https://www.vagas.com.br/vagas/v2795347/engenheiro-a-geotecnico-a-pl-vaga-exclusiva-para-pcd-s
Arquiteto de Dados Pl,Porto do Açu Operações,,Pleno,https://www.vagas.com.br/vagas/v2801421/arquiteto-de-dados-pl
Analista de Dados II | Ânima Holding,Ânima,Home Office,Pleno,https://www.vagas.com.br/vagas/v2802129/analista-de-dados-ii-anima-holding
Estágio Risco,Ativa Investimentos,,Estágio,https://www.vagas.com.br/vagas/v2797843/estagio-risco
Desenvolvedor(a) Sênior Fullstack,Petronect,,Pleno,https://www.vagas.com.br/vagas/v2785781/desenvolvedor-a-senior-fullstack
Desenvolvedor(a) Fullstack Pleno,Ativa Investimentos,,Pleno,https://www.vagas.com.br/vagas/v2799196/desenvolvedor-a-fullstack-pleno
Analista de Dados Ii_ânima Holding,Ânima,Home Office,Pleno,https://www.vagas.com.br/vagas/v2800126/analista-de-dados-ii_anima-holding
Analista de Sistemas Sênior - Engenharia de Dados,Vallourec Soluções Tubulares,,Sênior,https://www.vagas.com.br/vagas/v2798376/analista-de-sistemas-senior-engenharia-de-dados
Desenvolvedor(a) de Ia Pleno,Inspirali,,Pleno,https://www.vagas.com.br/vagas/v2801156/desenvolvedor-a-de-ia-pleno
Desenvolvedor de Sistemas III,Ânima,Home Office,Pleno,https://www.vagas.com.br/vagas/v2782160/desenvolvedor-de-sistemas-iii
Analista de Fundos de Investimentos Junior (Gestão e Operações),Ecoagro,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2800465/analista-de-fundos-de-investimentos-junior-gestao-e-operacoes
Analista de Gestão de Risco Sr,Icatu Seguros,,Sênior,https://www.vagas.com.br/vagas/v2799565/analista-de-gestao-de-risco-sr
Analista de Segurança da Informação Jr,Icatu Seguros,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2794150/analista-de-seguranca-da-informacao-jr
Coordenador de Arquitetura de Dados,Grupo Fleury,Home Office,Supervisão/Coordenação,https://www.vagas.com.br/vagas/v2793692/coordenador-de-arquitetura-de-dados
Analista de Projetos I,Grupo Fleury,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2798994/analista-de-projetos-i
